,0,1,2,3,4,5,6,7,8,9
0,-373.11796337811825,-223.45324081581774,-317.164486314809,-81.78149265800263,-131.80078854567057,-345.4775845202904,24.440237318667684,-345.5775982643247,-255.78951807565596,-359.02631189309454
1,2.729255405653163,-210.21042057893564,-160.5576627697916,-381.8648215685569,-63.24473715152456,-49.22144544676053,-402.14066656255335,-108.27625512413084,-72.93938144805762,-444.767778554146
2,-241.8854630608948,-354.32319730248275,-45.1763682310835,-203.23886690566118,9.708114089261969,-393.9706005838864,-349.8920401359609,-414.73063807159605,-132.28894976379254,-533.6329690807256
3,-431.1555080570856,-290.42051071322624,-56.38051838370608,-229.93966074305817,-349.4923168427649,-173.65738205643058,-302.1530497138912,-289.6304502154696,-101.32502993535378,-299.42657150581795
4,-355.53003744482623,-324.7235865731567,-301.5350955446647,-423.74371168268465,-126.44661254099988,-237.69108180504927,-229.46415173269668,-335.8246248659737,-252.56744083453313,-311.85601459808333
5,-50.3887168769523,-74.55034639411585,-287.4675173979848,-204.0702984772003,-78.70466183372866,-195.70647974883218,-119.03727171291496,-210.2560671602688,-71.43622037159787,-417.94901842635664
6,-398.26581358166277,-135.52096226448822,-119.94293973119832,-131.54961674024824,-149.64295337458168,-177.8346391069833,-108.59260196954602,-232.72878637630214,-198.50896896996963,-485.79820838476303
7,-304.61955130517936,-62.9246849345308,-78.95433372246417,-304.67545417487304,-346.59565695418655,-328.7927181369953,-0.004701245888185213,-112.55915618653101,-363.08186588331023,-327.65854180964845
8,-427.7724860728258,-158.66163721854446,-399.7632143089484,-550.8184735559585,-341.43670893196406,-279.2603778773823,-105.19578445212483,-142.9246144735265,-578.5919632962684,-508.8590766566449
9,-116.01715520915764,-314.3522366761923,-100.15740835401294,-256.8920230271042,-276.6530357007151,-205.64660535934968,-103.0360787557397,-332.63384332980013,-273.269227061762,-318.69265993315145
10,-271.2791252181737,-149.62130344715666,-307.2888659878967,-195.88092269594915,-247.74407629675645,-300.42142959613034,-247.95946250147725,-285.5431411766647,-420.9350399625957,-445.89244206610385
11,-210.86549909427515,-182.1534004183547,-179.40309401409536,-182.01521128241217,-335.44088362969194,-61.98061498320846,-25.210958810891327,-5.497076461002081,-177.0591504065676,-57.64407687593204
12,-82.3315390962254,-346.3892401369914,-280.0125117940844,-274.9831440360206,-271.8330747903007,-240.0080437456243,-425.37913058281555,-276.57166190950096,-72.77926453940415,-298.11918395211677
13,-293.5264959854434,-139.05545660570408,-186.49098238108547,-100.97777021677767,-450.9515766560764,-27.707637280345566,-558.4616058181823,-172.4195526940261,-194.04321984690094,-132.84397174918195
14,-118.57025615005048,-382.46133404389036,-118.95013721515221,-241.85495374212715,-139.72508743962464,-558.2266482309162,-435.8924238082133,-178.27612055053868,-67.49103292756752,-118.02880277296026
