,0,1,2,3,4,5,6,7,8,9
0,27.781854115774493,-466.4417991670849,-45.46325710495512,252.0803073540946,-20.831038698000796,-12.012989361990563,-35.453461162448306,-34.18984396572891,231.8102314355174,-609.01827949997
1,-509.4902836612147,-597.1686401023749,-50.296200285598005,-253.24116588714278,-643.629174293764,-288.17219963906075,-474.23551882346993,-2.122829390582112,-460.14113240434995,-248.1354016586212
2,-127.77179128572982,-527.5891330651402,-136.92579208580935,-137.07854726526546,-312.4667218845876,-400.5472124432165,-155.29806180567027,-57.27739245291515,-200.18128423193374,-426.66886933973956
3,-139.58866563597442,-473.8836557489568,-112.8099562318225,-102.82641125307151,-526.0959093169856,-514.5715884927237,-95.27290351983726,-162.32877401542927,-16.342653654504844,-274.9357505868585
4,-215.68388452143205,-222.97121678919484,-269.7481731995874,-135.61046201996834,-185.14472066731446,-589.1995361106201,-147.68146820302616,-124.3718219458101,-233.59821275213253,-104.84107731015618
5,-136.08840386302737,-262.0922033832694,-328.9123561884187,-2.5645868279933097,-261.9485623676725,-436.8967566316201,-144.9779444849617,-121.29720908358436,-95.35884171869253,-438.10127360392977
6,-143.8476216715919,-412.95356499582414,-324.86143985883336,-312.03437993350144,-140.81765605595092,-433.50237607494216,-126.17224290337411,-154.311621301753,-208.0947768176818,-15.684707980167857
7,-160.1563326587869,-376.71206946171407,-123.32923777873273,-328.7302747368335,-102.0343512407902,-261.52019669147774,-154.54481296995579,-162.0925935084041,-55.41777290352523,-127.08581021040615
8,-103.94046651615773,-200.59998642959323,-426.1001845870145,-296.71878340517594,-87.04523245293579,-283.52095508837704,-131.03946980253033,-140.30618574295713,-105.69287947915231,-155.88015143567335
9,-155.2623638030878,-110.914421201673,-163.93485525796874,-168.07572576674045,-284.8346141087867,-280.0152860750234,-130.2979618011617,-161.04578746120123,-128.81516915145042,-145.49653339850144
10,-15.613095870492401,-112.78558079783915,-495.40689779866875,-104.82263489406732,-105.57127433002918,-451.90392136420616,-126.04279093050064,-160.8341945398771,-122.7573170280894,-140.8429231756269
11,-15.015161306443758,-122.67382656070109,-607.5481325654185,-234.79807273364895,-117.09618609602704,-313.35357795110735,-146.19298027359466,-300.67345793331333,-288.5710689198824,-260.21916536105914
12,-129.9553173912266,-238.49364020722106,-315.49187328061,-132.01909283746897,-216.24504614737145,-244.98976097380978,-133.57941388705467,-320.18246455149483,-268.56851836286774,-91.2291622420733
13,-146.06682779570485,7.178323874502638,-436.87164077416287,-277.8961411943249,-131.67957898606642,-113.45476980064072,-160.51856736476813,-389.4356463921305,-376.52853165461227,-126.1692815259747
14,-151.72791329407193,-66.22034091811486,-308.38872413212954,-119.05284562364037,-114.38769331439114,-224.05857336473096,-10.839186520238087,-512.7384057139304,-212.32515467440814,-28.408207266486627
15,-98.86687048746525,-199.08108559985823,-134.99592419173263,-251.95214712169906,-111.21052400879036,-152.11058388050242,-178.94503433577694,-442.8625345676621,-100.3236325167291,-227.37488218491146
16,-9.767145622466202,-105.89551865521955,-268.751123082468,-106.74883325492081,-219.3616238773975,40.65200795800783,-125.81137480429837,-540.4114490431527,-234.19817176937957,-561.9853924311132
17,-153.3575108029852,-172.06342353208726,-319.5837691592909,-147.71867799658952,-276.4796087289162,-112.25352929124212,-144.23231174055425,-471.4481214756038,-83.25042518293556,-264.2676533963201
18,-157.85178608805603,-336.37465299344797,-475.0151052873683,-100.7375055118282,-309.0168899592785,-197.66943741102114,-172.95863177498478,-650.1774148407039,-149.9189266196068,-144.11516532113572
19,-130.08157199487073,-104.11938580883921,-423.49629417052756,-326.1532961544712,-83.21608731110715,-339.6855732469913,-135.9433923962431,-344.1192644713764,-336.0821521164004,-87.4471569063471
20,-16.081235892952634,-13.447415530261523,-366.07396167986093,-183.52782474844224,-45.88508280242458,-102.39638696913077,-210.13287313229858,-514.7164471417626,-100.36315710815656,-116.34416796814287
