,0,1,2,3,4,5,6,7,8,9
0,-9.175726809980858,-174.97331810810357,-168.8126737956456,202.0671505114419,224.13039585734657,227.56743855897045,-545.5219576568854,-783.2833641690252,267.4938634676543,-367.1403046754674
1,-189.35083420566338,-243.11944401544335,-321.6469061172915,-105.63326815006434,-321.67637089904656,-230.99686494353045,-415.3078522537174,-535.7983105406801,-144.61242301608712,-65.386108992049
2,-253.67741878990742,-56.92935066912017,-245.85876598486396,-123.9974431566637,-130.16806587597532,-221.9736032857038,-642.4153801077182,-648.8626468880248,-26.093626795759903,-69.38849588498951
3,-270.24678094660925,-32.798006587177056,-256.6625088738158,-86.73347527026218,-213.53958520811636,-76.4146282047437,-551.1841178078523,-506.2917685245642,-42.17591045688333,-57.638615725352025
4,-56.8157775747528,-248.50662751940257,-225.86722846304855,-69.56418916549688,-162.86972647328787,-188.5716721052363,-517.1283301824551,-698.161814506921,-293.8579046408529,-79.27946225451163
5,-102.88361978096893,-147.62560005519663,-179.51134234289412,-128.2792425136054,-172.14607491519797,-160.5979704060835,-408.2687772875791,-513.0173899547889,-57.86948304267165,-125.18719556722539
6,-130.77054425466895,10.191162131524905,-202.42490183241034,-88.7867431175516,-152.656869754796,-267.033407410435,-377.55733888129146,-415.97524302670615,-248.3759560082168,-39.7695915901824
7,-117.74195353422715,-77.36307105041553,-229.95530749687566,-67.36682240929895,-168.525827064199,-141.02263356645597,-446.8304079164934,-581.2316071125622,-57.57395622499479,-102.40951251863777
8,-147.5012953200266,67.93326278746156,-177.192627649943,-110.43081991417333,-108.6511584000287,-153.28238255178633,-461.93545209274794,-450.21224380946626,-36.00299149064993,-14.58243837838674
9,-57.3423180201028,-397.9572208961265,-248.10554150003676,-138.6859969378545,-155.86871386048279,-146.0644624681812,-488.83781889105614,-638.1937583971305,-66.37993606289783,-72.42562822076161
10,-72.35095220204335,-104.74007961579673,-172.49666544867972,-128.65690385144055,-158.8419497370492,-135.66743199426128,-448.3528911462876,-493.9484022678583,-56.72777509876394,-75.88890077541778
11,-72.94911851841401,-108.73232594707348,-168.0746304762036,-161.25364004684982,-127.69629715422853,-157.0617064094625,-410.4763755120701,-448.69657047295664,-203.0468390464797,-0.6424028565061946
12,-117.97387262866347,-121.06669782560483,-162.7003313304788,-182.3430766195106,-37.344800545589706,-160.93220386982563,-463.38630857917605,-661.8505194984406,-209.2843965733275,-28.107560231404776
13,-72.8809506701758,-228.39103260187684,-234.6998353413516,-121.77086939566479,-113.80106140415023,-218.69343857293362,-433.39325850413604,-562.4462513062326,-69.18673666496267,-87.07867593421827
14,-106.58089051478666,-109.96003361323847,-261.8698984857857,-175.95815855197839,-181.85089719135013,-58.126248587082806,-425.4795518792018,-626.0456515374487,-99.29044080426152,-42.573459897116834
15,-101.15345457277763,-106.37318013524889,-185.7972310499906,-156.54436870629848,-353.1661245791603,-153.5351128140158,-421.91907240720644,-402.47584216309406,-70.06688699686426,-128.58008906744104
16,-100.68327372536821,-92.83157602880667,-131.87244577909433,-119.34270621239011,3.7075636490313855,-183.53234279939795,-548.6855227670246,-620.0868891340851,-247.73079782920087,-88.24501945307131
17,-85.75240781091529,-341.08838822833957,-216.9274520369197,-98.68645630658413,-167.79347567782864,-145.09314081225978,-327.84046730533294,-468.5860524095815,-45.48497943767508,-88.4224313513983
18,-75.6998993262099,-106.53707363076285,-158.89440036920627,-102.21631598392685,-129.95874406097158,-130.24801480326835,-339.12737049289757,-500.82450883579446,-62.630132414927644,266.9222239816844
19,-139.26355063436034,-93.50873581186131,-218.46601597108565,-69.06112421821284,-164.3243276257437,-171.1305755772256,-478.43156268104104,-468.60795371537733,-20.495577319171744,-82.28124395073795
20,-128.39849847879276,-136.36309980255285,-162.7594390275698,-85.26975677109992,-144.15166501972448,-175.1909902198303,-499.1809027551719,-468.2311015600706,-98.8855832407249,-67.57707998570835
21,-67.70609562798583,-86.07181129225035,-142.88101805932922,-70.60193282889227,-50.0949623943245,-143.13510764784115,-437.88041803889655,-598.7347755891942,-73.46126166032691,-60.45927222742853
22,-121.83379801118498,-105.3192513352357,-197.3621375772093,-115.53856254906003,-151.45971203946087,-127.20938068712991,-548.0540888044756,-523.9448352625897,-261.5187472330822,-68.78709712961299
23,-334.6884203530135,-96.9078506793971,-184.27966624582552,-101.76183792641953,-132.62138500058788,-132.20381749276706,-387.1473864834797,-470.4923910555192,-37.20292584002955,-62.179358194249275
24,-70.28360073994236,-146.0534490425329,-203.80468263654876,-84.80732704249147,-167.8315701522198,-157.69856986237937,-527.7040945350233,-580.2462793143638,-46.87403527314246,-21.57619471603205
25,-122.86740137147798,-237.71956374704098,-198.47434774881478,-77.21607777857538,-410.5843641676323,-132.25196872072854,-425.40441328516914,-550.8008310591044,-156.6433979172449,-98.86330237579577
26,-64.35219786520052,-197.56768784548234,-198.25489366304961,-124.91316092420837,-40.36386242875575,-82.47712708294722,-412.94009063975824,-659.5728391365103,-30.117550049403604,-98.99839518997842
27,-158.26357319669478,-183.37594513548822,-151.6781549425159,-97.91895394721254,-175.86419262594433,-239.26019844660314,-462.46196458119465,-522.992161716271,-52.52032258304061,-245.22885158667654
