,0,1,2,3,4,5,6,7,8,9
0,-539.4422842633494,-82.81427231268376,-288.8412025731327,-289.54746625097147,-228.68319319897,-32.346029422695096,10.79278411596664,-568.5715156559576,-534.5540744309087,-473.78349652144345
1,-650.9928190419104,-652.5230553254426,-341.78324151544757,-728.056271406982,-396.85940443113583,-291.1644828045996,-628.8394417413588,-310.0554573953184,-337.3429840000214,-40.884371357860815
2,-607.7595933859411,-618.7464430672067,-290.46480352360356,-648.4395276926894,-266.1284193340829,-257.1246415857484,-424.2075486515813,-315.4199389339576,-502.04684186738615,-205.6181730315497
3,-496.0719146080949,-59.8355500487141,-348.42108094759385,-618.2238214914062,-261.99271056813313,-285.456962162468,-299.0575789932302,-261.06223687393197,-850.1690398478172,-256.14631793107765
4,-694.2038885238202,-73.26693860805696,-533.6194085449221,-230.6483926932397,-648.8402328379165,-194.74922921921828,-503.597575445486,-253.0561813843524,-309.9084815287338,-324.02201401017874
5,-558.2393544821928,-593.7112238869167,-461.8596566885259,-213.52123421925728,-318.03646113587274,-177.42403431794315,-218.39920424768655,-407.26255402140583,-463.57792172794353,-384.4553705292155
6,-407.4604985475058,-554.0890911894173,-324.4517824345046,-455.8801501718239,-422.01155560694707,-53.38142486196813,-304.6793006218564,-362.2541272146054,-422.60575260898753,-371.8010804999889
7,-571.6366727792349,-696.3521431091015,-292.8080373689719,-316.0882713794125,-420.35499417565836,-51.61756496156188,-493.99035954121433,-251.16112598792287,-754.2593941511448,-335.57728215860664
8,-602.0293351089848,-586.0839829725744,-345.65901708015815,-392.1651025271661,-350.59749140653577,-65.89158229986639,-486.74802557173024,-292.66422031765165,-411.41478888596004,-283.5162345604375
9,-496.92181435994934,-288.62122831770137,-251.53868565461022,-322.8230646080942,-143.94202056608933,-164.62467311367175,-404.7029064536728,-492.1583134775277,-745.4000556018549,-320.6982406045245
10,-447.5976620442371,-503.8636310938577,-284.6086926603048,-444.1136444518715,-254.05033549125702,-61.74286741116747,-454.887650279408,-305.4057961900419,-363.2880233978473,-269.6897461882279
11,-526.3164619592744,-447.4910696842508,-363.81250887329725,-426.81325840431026,-297.92853222142617,-48.710981204448004,-562.3035454003428,-395.98343063105824,-612.6473218594138,-332.21753149749986
12,-637.2445331272751,-578.2623134081941,-305.0281898919042,-205.119177747535,-477.94712330478006,26.535580583658316,-616.2112471331061,-28.847169455353082,-731.6656005192995,-252.16195346728134
13,-559.7822574827114,-451.9685444839556,-446.0644826667721,-228.68745500801393,-286.4311080988972,-258.0902530453717,-649.8708630991099,-344.5689073663608,-346.5112589830562,-313.0329844175624
14,-425.6591285293847,-53.341711530458696,-425.75047564114817,-284.6549596313175,-248.65234702853127,30.731693539424782,-786.2207459449925,-299.98924176330166,-780.8507480204986,-196.79498457941838
15,-66.25534854623145,-501.0357471633316,-386.66846603292163,-262.4397684305887,-433.060717361905,-202.76304219919447,-360.1411570173722,-287.57748974062406,-574.0383408775535,-166.9383597523788
