,0,1,2,3,4,5,6,7,8,9
0,-1.9807671965287312,-311.45186238337243,-101.99517130507797,-148.56991749738955,-735.8751107332395,-16.632629783778015,-82.04079104399318,39.05518545562913,-34.35965649828333,-8.133205714569044
1,-197.88521875793163,-277.4533272523618,-498.48161669962025,-505.58453500799345,-508.6415275729793,-304.09764265671777,-298.4888163012173,-294.65652794215544,-406.59071326445803,-373.64011220025463
2,-481.00819541822705,-455.55200568291303,-669.2989300852337,-432.8437581292362,-466.19072996325036,-604.6890576637518,-134.36032023633675,-329.6789005641933,-448.1026157277998,-347.0740706002208
3,-552.4782607242232,-534.3152070514958,-349.10525674956284,-431.90123839261173,-620.3009451896806,-543.5668765241285,-304.56498989666636,-320.8299197368974,-454.58840433103785,-169.6922872587968
4,-365.11542909303245,-649.3926406321023,-464.85619340348876,-506.5252804891666,-547.2344249806204,-487.66492542811335,-246.46505367935694,-359.449341945378,-499.916344212285,-181.9740417095809
5,-401.58776984014867,-533.7981012860541,-485.2376368632153,-483.34887257022825,-552.4936138283347,-454.220061614625,-110.59986622075856,-309.53844134117014,-359.6026594038486,-19.06464888004254
6,-465.09886528606535,-465.04804728236627,-611.272489893332,-310.67751216552307,-555.3252238843716,-516.5504885938717,-143.97914030199888,-268.8886714987616,-381.3776311181839,-131.1544066973964
7,-457.21998707289663,-530.9962034677972,-394.2080104547091,-457.022249367685,-523.0726682013207,-509.2339935953964,-185.1638435136685,-219.29483191896443,-293.80652555876713,-135.62481745483953
8,-561.3784670984112,-515.6530027395906,-423.81613480893185,-475.68397469446177,-484.40134154333583,-385.044347966506,-124.93046024923828,-245.34985108697495,-386.93633539774663,-134.77937832703455
9,-574.3589833832266,-410.2589520225838,-490.31704563765993,-468.29598769390327,-469.7775447488315,-526.6297518251513,-332.820166549644,-97.83293537244019,-513.8287599574655,-124.71488679408645
10,-591.4153925975957,-492.38029121586777,-489.6477584370469,-372.656700443541,-369.1810217924047,-554.5878492354507,-309.37098905185786,-106.02335937574567,-421.5627113708985,-172.31857493790568
11,-435.07079484402533,-538.760032575109,-404.64332481831025,-376.5437349939968,-428.566138352395,-442.6093299020074,-270.02833083604514,-233.51655261339758,-498.5888169372687,-153.8727432563199
12,-452.66789803516616,-518.2268627155422,-556.1326958853314,-462.052529577582,-467.20976406247564,-353.7330751157988,-291.68311980264394,-237.32055718915504,-476.0050119479431,-146.16873174645195
13,-566.6862920634245,-472.86144371610055,-726.8278229840839,-457.1709428719174,-513.6448219061976,-542.570587076566,-354.6521604830169,-299.9172779892121,-468.0536640957063,-139.6103780263128
14,-530.1431364957157,-678.5379325261679,-390.4446118967029,-432.9538139497954,-424.3464925485112,-424.8862547768474,-289.1423616607741,-339.74972763224343,-444.4061555194571,-139.40134980244991
15,-375.8611951417445,-570.8512983720727,-436.2470839507166,-12.677761287721822,-559.3879912736542,-527.1527126338892,-355.10373842380346,-178.20930689704878,-489.570276578834,-174.09372240915553
16,-434.083750329998,-348.38659798095796,-519.7262683208718,-62.23894772136594,-516.7034997086367,-474.3410124609037,-308.94357486655525,-189.68169138258082,-447.5540747947774,-28.919899470531135
17,-395.92527427847574,-706.9448900881788,-522.9208966892254,-531.5778936011568,-433.4856708914547,-524.9430830905677,-263.40094838161616,-313.39667083997335,-469.5944449091603,-111.12832971273389
18,-480.5880910197997,-539.5738744187806,-638.3627687969138,-288.4773806466933,-418.0085272736101,-518.8682971244345,-321.86791805514895,-183.48877446126767,-469.97107647284446,-138.0489605291731
19,-511.9734340778877,-504.1460684937632,-435.4507179143793,-55.07638915812048,-394.30921097656136,-383.8208132931556,-218.73747947196105,-291.3375262952514,-465.59391292477045,-159.69500830609294
20,-397.64919274170387,-432.2540142923081,-619.1119128596207,-392.9788654281113,-716.5092088606093,-499.34767845991723,-207.88419233952072,-268.43912085268175,-289.34342458420343,-92.08921494468879
21,-599.0079184740208,-422.63395499968016,-572.0606474922548,-450.2765744190321,-348.4347257686817,-446.8153527942465,-384.588367238146,-303.83108893647113,-433.5828216075044,-157.15993032226564
22,-307.23460552115046,-395.3050568536131,-460.7185944222317,-379.66504013971775,-527.2944172062175,-338.0062098379693,-296.6791729474239,-212.46552217273927,-405.60840529932005,-110.08642495184125
23,-370.44480200765054,-450.40069672446043,-544.151732692003,-623.8311625067207,-486.22063194658824,-730.6075790188377,-138.79299774538654,-294.65474523641734,-498.37487707534206,-161.4705892343219
24,-420.9257152696064,-463.7125027930259,-588.8095980460805,-420.66752427487455,-510.6349809469516,-630.0955503807423,-269.15563003772485,-289.11184762463466,-476.12850494458604,-137.7480092421674
25,-463.07752802899915,-507.3517410898114,-563.5302268874959,-467.2858091941969,-466.10825109757633,-449.3113657136898,-273.0626890834783,-234.47901335780773,-440.8335550059731,-127.12359914819925
26,-387.4757734759917,-657.4299375118186,-421.02145148202317,-501.86050178298154,-619.6144300682109,-461.1576834893485,-357.73188493141674,-257.4501753569184,-427.101875733264,-132.21296131223042
27,-327.573229324802,-494.6658191236757,-643.3941230818864,-239.67071154453353,-423.1400336178073,-390.7761845729578,24.32130040342652,-216.0965598409641,-458.8716975052904,-129.07125221320058
28,-499.7966101711201,-415.24931441863555,-391.66009018351536,-71.56371911827489,-452.83868036176455,-493.86444950402387,-316.0305333109236,-276.4627940625712,-458.3278440434114,-149.49144428229957
29,-391.57082946174074,-437.16105980964255,-397.8852624885063,-405.6575890241626,-474.90865240123776,-337.47581037412647,-266.88893873739266,-337.4188422779825,-389.2842646562522,-130.73978776191274
30,-546.1363316963117,-341.9485982798344,-307.5607429847779,-378.6682470086332,-642.8544027317497,-396.4025620049463,-163.91472158315833,-242.71096147089028,-494.4299718410584,-129.33652995265675
31,-322.4726320031083,-734.942763454253,-532.3099577936975,-293.5926882113721,-462.2607693336714,-398.4878792260109,-315.7994818707084,-341.55455398146216,-362.6223098346511,-156.67063488532372
32,-541.7904586003949,-603.3761836001643,-516.4752109327853,-477.2829562495018,-615.9484856551773,-559.1352073438087,-278.46646251196324,-339.1249066564602,-506.55759858294425,-150.50987846203614
33,-439.5179200002216,-623.989901125069,-601.395012708085,-334.3601515687144,-409.2531285950006,-434.5861089833812,-234.8102627112693,-293.2869405168,-455.54545161985027,-130.89155928058264
34,-507.7354567875932,-734.9747610303253,-321.7309011361528,-259.28595265409234,-581.9841712968492,-332.3249347720017,-278.45967384307914,-284.2985382870427,-466.6123318650402,-147.01344487393996
35,-472.9538940265896,-322.9051268428591,-439.183935778099,-345.40421901131333,-430.36425100221027,-332.47766929785286,-281.4514515124931,-249.6814617672473,-341.91064087246673,-142.41818309517075
36,-367.09220202226055,-431.44746409671075,-507.21658562688935,-447.8613658678606,-595.8849877208831,-452.7959367175091,-386.75834845815956,-336.06963602244195,-347.8283678838078,-148.75854164508002
37,-477.2499929162117,-609.6127296779844,-531.3175247264749,-460.4458100349646,-359.7969821497116,-444.53257713511334,-184.9181417298749,-246.39567645375413,-435.741051564664,-147.41415431153845
38,-633.3605072863885,-429.3831104260082,-546.3810370228905,113.70192960279404,-595.0773545604779,-462.21726779638925,-167.24349087394629,-215.4772326786154,-506.35977779546147,-148.29998744592234
39,-411.3281017434428,-568.7726428498497,-554.7041247137809,-422.04774174339343,-483.76479091512743,-330.2385782188212,-280.48786793330305,-299.8047641421432,-476.3651325309764,-153.55003840271368
