,0,1,2,3,4
0,-66.85393768351136,-228.09719653728814,-87.57060993027,-80.96697671726555,-79.54609760566386
1,-381.690406779124,-107.68286324287143,-361.2195910097021,-97.69127599463634,-137.72961152682205
2,-307.98276954281914,-341.8447942754332,-575.240981830179,-600.8892665927067,-437.1993972507954
3,-197.64011499757754,-176.43404842849947,-274.60140243031697,-653.0392256246002,-283.08605538317215
4,-39.01843063441558,-221.86210015453872,-184.58317437932243,-254.30183405819147,-278.41192262502216
5,-205.1944990194881,-83.8759180220339,-105.05989742389508,-330.6992596157826,-374.99850639100214
6,-186.8227979570607,-300.5517803764277,-355.51039358455637,-386.91416984860837,-144.6662159345405
7,-58.08092912315249,-206.89846831733342,-132.44038008142087,-75.51128854655141,-134.47426023353034
8,-367.46168341637724,-261.1569844942618,-273.01136901906,-465.2936786981662,-116.57394876900578
9,-103.47794008674484,-1.9994340146141667,-210.14984283244175,-76.05623942268508,-299.980317156195
10,-413.94911778909386,-255.7274916214999,-473.8943272578768,-623.5365836118888,-198.91698262701289
11,-107.24865982321751,-133.63337631301602,-408.5093612263025,-307.5867175362385,-124.71817120789945
12,-238.24991660327345,-324.8823100582848,-195.4523128247388,-231.17143678398728,-192.49477908049113
13,-371.1298883922276,-374.35448288404865,-318.7439880740541,-269.5716289389598,-166.58961254154693
14,-443.14422605999516,-401.64049472199605,-366.2430083780283,-387.1618248790426,-113.8835646868479
15,-86.80345588129956,-137.98640319499734,-176.9052185629311,-322.8122806196137,-367.15962906739
16,-243.6886961526548,-511.80456152119086,-598.6627827207838,-195.1655261598517,-276.8086881552821
17,-211.83293217067762,-205.30184318654332,-713.8878736054291,-309.4174003662772,-322.35715007904525
18,-130.93427305227073,-230.0942285062383,-303.7335378609339,-105.35728761181939,-219.41252605377696
19,-133.69305586458975,-110.74524058646003,-290.64944468411875,-290.04947621226404,-63.121661386876106
20,-280.2098262028312,-188.1345862976587,-488.0266279651674,-315.3499063834058,-160.77114368195106
21,-197.63585179423268,-306.46939582237906,-407.8881494617405,-77.7189215347069,-92.47289065326666
22,-179.14446103888503,-200.51643645009239,-299.6660973110612,-349.00124151816834,-184.85112281612874
23,-148.83535955481193,-170.61310580374723,-242.92180105176726,-220.5380726879015,-93.99342778690533
24,-262.8292212482329,-42.952315724110704,-612.6661982725311,-70.46622579531383,-56.908291032311524
25,-228.9591872128187,-86.5040640268292,-248.24323622042238,23.835664127964648,-58.15257857811868
26,-213.69594006312582,-302.44268542203525,-256.96108448842494,-212.54876114130667,-164.10584086903862
27,-176.22363294642767,-171.35881978574577,-258.43943519664725,-66.18872185628065,4.982158311698441
28,-382.98120123805813,-253.38457409183417,-137.51034350398052,-52.13333193399497,-228.9934998322963
29,-147.00452326176625,-99.71992278203511,-421.2439630063263,-303.31122441911134,-96.68632197646508
30,-268.6241686077781,-54.722466853209994,-433.19059659137787,-113.04799213888137,-937.5153218057524
31,-405.9944927123711,-331.7115635004601,-180.17417488420372,-60.25723493736322,-114.68866066266236
32,-188.5370727340182,-101.32478792109048,-374.4972276161992,-195.8124501569247,-136.8256285967318
