,0,1,2,3,4
0,-80.22778191296115,-338.17797290408885,-310.9460342062131,-291.76909689779893,-281.0685624046354
1,-105.73232350915536,-341.8637813496093,-137.28587959115416,-98.40600033729379,-220.30849386512295
2,-338.4112404728274,-162.6532879547007,-140.58604376065284,-479.9812651516984,-315.6640375791625
3,-121.26894842323652,-184.99094073883637,-166.52694109799876,-318.11194300653096,-320.5943323141123
4,-131.8266303757667,-188.8035543433804,-323.74095374970153,-331.64859408111494,-94.64693632503425
5,-75.61246208393759,-484.8797525481588,-550.1499535104438,-315.909115478191,-219.54537528627884
6,-596.6533849853547,-501.3909467004887,-525.6258874048731,-114.46473526531987,-513.6972652628087
7,-524.1981377511222,-519.6104202673685,-261.889346782544,-120.41759002012653,-443.22895540440624
8,-608.5048425924138,-505.6260527918515,-195.26535642771938,-104.02220806966027,-387.0747046240588
9,-272.6628472556107,-475.0000675074225,-122.02625929094648,-153.35727503474675,-343.1550166579044
10,-418.4885979586561,-438.83481223927976,-103.27632844069694,-169.16543256833097,-335.17971447038735
11,-342.14434851246597,-548.9776677094924,-267.3100642803981,-166.41667016051156,-207.45142114043193
12,-262.27780209678053,-83.14643636882894,-71.88593095588291,-568.0082286134506,-330.79481369712346
13,-305.8610736909292,-147.47885264562993,-75.67485912749733,-394.2853353605681,-238.26376917180397
14,-217.27748958136266,-262.3688675751734,-360.143554486722,16.938244105922394,-83.81546575631364
15,-99.14173192923526,-316.01682767517025,-512.86694818283,-137.78434383001243,6.70593271900897
16,-225.40393600436846,-192.95839585223644,-219.9614616891431,-341.85579619602515,-30.33556972679297
17,-115.66248680271413,-172.79260626936298,-129.73159451919028,-98.57289681426033,-297.0173258878907
18,-112.22080958328974,-215.8635918748085,-86.99076101085629,-163.60148388371073,-187.13849421298323
19,-138.46887283814266,-7.963901642048569,-173.03559663217501,-109.32570824369785,-419.58545647717693
20,-101.46725361188284,-175.03507101593198,-77.15505718333549,-133.8447369551212,-201.506534654986
21,-92.8486667050676,-62.00905301403926,-141.9942862059382,-105.44790731197054,-148.0986780265254
22,-62.83976166160759,-4.5563708002699315,-68.83951696010865,-138.57785112989987,-37.57712734513096
23,-73.575389255917,-2.605208240013525,-282.6325865121663,5.001872086881633,-185.05545565763987
24,-52.48901093738724,-125.8951206447278,-186.25296518488028,-330.57653099901637,-97.72272343383132
25,-142.3904931518791,-92.85036479354135,-197.93164885616105,-287.77883815226016,225.21104920142432
26,-88.43888759560636,-116.01121267198126,-207.13452662024486,-207.73664260225053,20.94299252300698
27,-125.2149533987592,-105.56039047355218,-38.63237302455428,-85.56728691744951,16.669891073037206
28,-45.97644187529324,-101.34732188039355,-60.12199935807604,-138.46493301123942,151.9502989965805
29,-123.62208569960023,-50.81952251910194,-77.21731945976981,-168.4063574546951,172.98793636727515
30,-61.48186488276313,-72.10536263051901,-93.08342955563681,-393.27853385742304,-13.565566624105363
31,-1.9089248014365978,-75.05775117920004,-63.951996222232715,-76.13191707477047,-63.83021988184086
32,-4.959402026682653,-2.958282291350258,-62.147059281828035,-203.65681173859883,-56.3994108875696
33,226.44399571940468,213.193896691033,-58.88415947468592,-172.48191976516708,25.576149468423292
34,-26.24901541217548,205.2669965073893,-63.6086129289785,-132.721860772941,-1.0790846424930622
35,-44.804790969799654,-82.44050268098695,-75.83394249351106,-129.24777739579727,35.528410522537094
36,185.35825220158068,203.33806478450663,-78.95853357173925,-157.08025511868624,2.5801260943231785
37,-35.7374384969079,-88.0995754918043,-74.06425897568445,-192.70096142043627,-7.870485355135833
38,134.9421683331404,-78.98413985154116,-65.98922846199304,-35.12538494404353,-5.804996889348494
39,-146.89826384913798,-87.55858255259385,-75.07833057970663,-36.61399254149025,-6.857730861312331
40,-147.44502814895765,-88.08087021550944,-78.70560987945645,-62.780432647334216,-9.437017745312984
41,111.25584711448414,-108.24680987079479,-73.25850997197661,-55.82429357632375,1.4084943564819095
42,106.40660731916842,-112.65277688482435,-75.7740674592191,-116.62877783895527,3.0040370292839835
43,-104.92146781650865,-112.93419114458636,-76.02054268615032,-160.73460535512774,6.683600548331785
44,-34.3656970458997,-100.86341449439439,-75.49719623572172,-192.2243755376823,5.364704237783877
45,88.60398021529106,-121.68068177863105,-81.11499235152887,-173.68222033842034,0.9105883548736231
46,-150.74491898389255,-97.8338004394048,-72.17884861567106,-199.59801858623467,-27.356258931652082
47,-43.85072416695912,-106.07617667030968,-77.30869710364848,-203.1258038382518,14.649141943940027
48,-83.67660940899115,-115.08142838439673,-69.95054323934612,-204.64258071647947,13.690532395467258
49,-44.40798952157179,-107.640520572988,-72.46915144891774,-212.14294807502452,36.89012565761704
50,-28.387690135444764,-134.74593240413458,-67.1095917115148,-225.3128733496605,17.636393854463748
51,-58.40831562338151,-113.44213110284849,-67.3486560257144,-240.12511059430346,45.697518094534345
52,104.64437229316354,-118.52517534422127,-59.74470065408489,-240.85477172601645,31.889386833401055
53,-41.013962788680466,-105.96307918324668,-57.367784249329816,-269.16193770094355,-3.3525442092790962
54,-30.967507917765985,-112.8329446609806,-67.89992377852973,-253.89448908958167,-6.552033170480689
55,-30.357809064376003,-72.60362136396922,-52.7454400535772,-233.45955304573863,107.78924649670829
56,-39.28009763442208,-77.96242969433685,-50.522831690826145,-300.9715049017791,74.44947453792525
57,-47.54492622197818,-65.31704687257077,-50.55551019582172,-252.5020837199171,-50.50456876075993
58,-40.255451617959125,-72.81872191464099,-48.876531285795096,-298.6218548864558,100.04887350329493
59,-29.04358057656446,-94.44389464264523,-49.03318974283191,-244.00058758310067,-36.50678924123189
60,-39.01380674229366,-83.09103982317785,-53.32342878911939,-225.21523530324737,-156.1835727303577
61,-42.37654450799021,-69.69266028653816,-43.10205822897574,-235.78099262412675,-156.81872822204897
62,-37.74481400459598,-111.92113143697405,-40.60033322458815,-266.7952837406833,-158.06189269192475
63,-31.160070364902154,-97.09494272406029,-49.462308303240036,-72.71873658418802,-150.4760649868263
64,-31.92805099250563,-93.77250475919381,-52.99238191526282,-28.117791773986724,-148.70209703697753
65,-35.30309859168046,-108.06531225318015,-42.19304528028691,-38.77750578843622,-79.15230378361915
66,-34.159420653145325,-93.83277142531617,-48.32497245599131,-38.92307550901112,-67.36988547997227
67,-32.91992883615992,-84.40391900128039,-45.4227230192028,-34.9241941895574,-28.928699130639668
68,-31.025622738365545,-92.13055627676833,-48.08451128378384,-37.395893844539685,-46.57530062751441
69,-32.221118416551455,-164.17894557400774,-45.23849077982768,-38.34189689366449,18.591296273382884
70,-32.78928009614084,-59.42415881892446,-52.41952104095476,-37.95436402222574,32.528159710605536
71,-38.31319456656072,5.757976613494567,-33.271910453149374,-40.05970478927557,-25.848120141761136
72,-27.657837298280537,-15.851069389562017,-41.455857435428754,-41.10769197242089,70.53154273498356
73,-34.92090852655978,-29.774165286857855,-43.99165355050932,-38.5951854623308,43.48439396980085
74,-40.698441067106636,-24.819921508027324,-47.300343047156346,-37.5245355205481,77.37077068517219
75,-43.03324750782376,-22.972729350563426,-44.14795053016555,-39.716742274402996,102.95923842687736
76,-37.60086183630978,4.006588575131309,-40.49663561488256,-37.3361004731569,100.26647259079347
77,-48.94510013839464,2.4900830188083765,-45.3979349764387,-43.06727435437335,54.972501151660154
78,-35.285242041079705,167.4950142382522,-44.183180366314446,-36.41523940822028,32.56772176026756
79,-42.058243507481095,149.89058668360605,-46.59215034613514,-45.524318745509355,99.14184934294587
80,-29.84512547837443,43.894371906173234,-43.191224220668666,-37.591097134693435,80.24245343228127
81,-37.76051284459801,99.78269073538132,-51.505719229333266,-36.59567019799262,75.4626754432437
82,-40.18940571884539,91.71155719430485,-45.65194435870291,-34.16102971379887,59.321058962728245
83,-39.484509353610036,68.82526590558655,-41.669949399313225,-36.58110980425874,74.87005358557107
84,-40.70918687206378,174.3209533267103,-53.407633792183326,-32.37828211665632,74.38511124933126
85,-40.92818569200952,-66.90567066062309,-39.68793112939269,-31.420015038093023,80.81258462102564
86,-58.346081551291746,35.265883428940754,-47.87416052507674,-29.628157650855062,76.3217147333451
87,-40.82169526022436,-99.53226043851093,-44.96741238753677,-40.11948357451682,104.69779471375143
88,-48.907424265527325,-98.19854671273274,-47.789991458794205,-30.84851276262264,105.86322016302283
89,-42.82671887905621,-124.74242213063138,-43.81053292434488,-32.8827424224172,115.42517048449147
90,-45.50036889154815,-155.29559985584575,-45.27514972754736,-32.202784999012586,92.25183059831203
91,-56.81440368887025,-41.83865963397831,-38.02510362167242,-29.82235025855179,117.51234848876017
92,-35.51278966440019,-44.85074558197519,-51.90664249404795,-37.19295270782286,107.47883502381613
93,-44.38361363319744,-32.80368214693232,-39.11742630152003,-33.935316688962665,90.67784050781164
94,-51.516829921186236,-36.71546162899136,-51.82891416718209,-29.788457607278126,105.6543695613601
95,-41.28893120057825,-22.824696093471513,-43.147224846810474,-36.30105111164231,121.44257732189692
96,-46.92705746264442,-20.825042530275176,-42.05994475592721,-32.983479684132305,116.37164946992311
97,-43.78784831375038,-25.27674245081244,-39.730140454415235,-38.7245253882862,103.82191847358548
