,0,1,2,3,4,5,6,7,8,9
0,-151.6180168890045,258.5100296748951,46.03714004673119,-146.49087706806293,14.525726002924126,109.84257980157304,-132.25228214754128,34.70328263158273,30.482908881209084,86.07572968171432
1,-430.6642067997286,24.420696176804796,-439.5572739803969,-451.7354232352477,-270.69892552052283,-423.49377821139416,-417.156977318815,-468.54220210290447,-432.5521674076335,-557.776988830394
2,-407.5665514937756,-4.111086858780794,-311.15896915078395,-462.18630260355627,-412.52471167474556,-431.9280495361367,-420.6335789706132,-504.971106032334,-149.13650326845269,-261.16705270370903
3,-563.1084793428652,-199.47779740279668,-226.16201690577304,-508.3903336289152,-497.8625649868303,-431.8779630678886,-512.8139217787023,-493.9419061709215,-180.22399042818643,-156.03533420377354
4,-386.77835898763647,-57.297794121047104,-404.12177558832786,-466.149821618281,-261.3626738814901,-144.65243528668807,-69.15645968170925,-430.453004904825,-215.37762125526365,-496.03266936317175
5,-555.8641313279281,-199.340611085658,-410.19498223652596,-376.21559132563254,-315.0503892130255,-485.52244928886336,-443.88475166582884,-89.38993180849975,-275.35815168009833,-346.75289443194123
6,-416.2371892376022,-273.77487350183435,-422.79485019919963,-413.8261094992392,-254.17998263583019,-491.00639905512963,-364.0459048959,-404.67846243987253,-182.8299666531121,-430.58241894048257
7,-435.6518329468056,-161.9116251829134,-315.98944293732166,-397.8377792522237,-397.19805177069014,-75.667415302728,-148.62046286928287,-424.75341985583606,-104.17497871349514,-265.7240643570701
8,-330.7366089493395,-524.0318760821934,-86.35062918098205,-240.92936615995467,-359.608939047058,-405.0531484943407,-378.6414028475435,-231.2477160326902,-108.22445062826401,-250.2341083641814
9,-321.85982220326974,-127.14006953955462,-509.06009631130354,-419.1224468102353,-61.93513410210154,-534.3153488123926,-581.0902782130133,-470.09162134832644,-96.37475164939674,-174.55275633640287
10,-402.70943232401953,-193.19465602402585,-246.3939313435509,-71.38831439106283,-360.53210077836627,-492.5490153283806,-284.5702522101051,-474.8791067093835,-97.9467305085244,-319.89405017214796
11,-519.9673977784697,-108.10013016025164,-399.28264079091497,-100.13780453329214,-443.7323773002592,-378.3636655993428,-443.8652655543871,-327.98212759313367,-147.28866542653253,-500.28650581212634
12,-485.27599989117067,-145.5624841156751,-412.9284691210548,-301.84786597635775,-405.51928483771127,-523.7691016567903,-106.31209362861838,-418.8243193146535,-74.56681035237995,-537.2714087603645
13,-370.09431651278834,-55.64408902420075,-324.27228661811705,-483.2109233993414,-355.8128546442992,50.23828721838342,-428.10762035277753,-431.8856302359048,-68.51590499332352,-280.14919760400494
14,-337.120381907322,-282.4745158074965,-385.3016553387726,-408.46807245157686,-39.00847695678437,-308.6144466870016,-482.8037737239825,-467.1168841240706,-106.66237012640379,-347.0725435883079
15,-359.38408612697884,-116.92786787381932,-433.36645427354074,-450.38252826448706,-232.19750962262495,-282.58739109400904,-486.28003493119564,-475.63578201022574,-78.11892866400441,-432.7652597549563
16,-349.70922789482756,-143.23868340765492,-86.04179820891562,-70.8862454317136,-440.8866637237044,-366.4290086425664,-425.53599738797504,-67.8452384485868,-104.38883721105422,-383.92606156286985
17,-577.2678114191879,-18.80850483469797,-185.52041256705365,-589.3162202891112,-201.3741475173841,-102.77714547147367,-95.93296332591827,-480.64722655425186,-67.95099642480713,-91.36527960989838
18,-426.33783033385447,-78.33412337977785,-432.58523298402326,-405.6830529386275,-299.41981544476016,-499.86780106474686,-663.6812982622045,-451.5214415272328,-110.18662818092578,-375.88439831370204
19,-511.9039753885468,-240.0300105282645,-353.16094886650455,-385.3300935252594,-468.5050665391623,-373.78179618586836,-421.7926757262667,-108.14641334492686,-95.21324602286646,-533.116809927169
20,-353.77469830123835,-436.00578333861023,-31.409604444406497,-636.1213751881226,-318.4390215763665,-214.3475478643515,-496.4665647416448,-358.87801058850226,-98.79258414779075,-458.25488143276755
21,-234.08571775164518,-11.11875614433201,-220.3227390653284,-432.78870119877763,-304.9747471326325,-65.27017020093928,-369.93298727957267,-404.69187004883327,-178.22155336314677,-438.89248290260906
22,-324.8603045171634,-60.54562538868505,-287.31828538905563,-454.5983083062299,-169.2927093634363,-468.7621606785546,-520.2902534318994,-496.0806524209265,-77.5167580655324,-447.9917026088973
23,-365.16625501449454,-227.9581969554861,-461.9300101786078,-49.64458376662647,-477.4320676344049,-322.0622682226747,-393.508227678018,-418.5574830923527,-42.657269589877394,-355.93689527287245
24,-396.4021219461058,-97.47586461320218,-244.05441141657911,-179.65027333893966,-299.04741317880735,-430.5337131261839,-283.3265218989352,-479.07577414289426,-79.16360491849224,-503.53948890022536
25,-498.03302095622934,-219.2744817617997,-418.12701542343416,5.819878681120912,-535.1214981665973,-460.07149684475814,-469.35675563121606,-369.3625083365702,-263.1104350584168,-163.4549144364791
26,-439.91595461014015,-247.41605808872814,-405.1774848795402,-386.63637644464444,-553.0524053472709,-5.6052667866507875,-382.91611358487086,-454.68314090715495,-43.14787340783724,-400.0367572012256
27,-497.7336692108446,-221.12167309800554,-385.9612159625975,-491.2606933660554,-74.15048509996629,-351.2279270170409,-88.58443132783788,-371.57954662685825,-245.45586724639665,-20.328224745227814
28,-277.49945800598834,-213.73399330697632,-412.62989029073515,-50.46998687441129,-189.77734379620898,-406.8790760664968,-619.2088141716322,-459.6783942109326,-378.5299677292071,-347.46634840291097
29,-289.5034982889365,-245.78750371827132,-520.4595127096254,-373.142940562466,-88.29431949078318,-32.13308189746168,-78.00129307499586,-65.69636396296325,-402.00704269143785,-486.4031312668583
30,-400.29909874637815,-125.00566813713004,-56.2905701388035,-307.05522246756095,-295.192514138854,-108.60127848474704,-433.39129821884336,-384.5056764793703,-455.10545941073127,-522.5348516735171
31,-658.2412516505267,-234.8927324485096,-427.35245901553617,-434.59208362800206,-321.9673026292283,-361.70622434642326,-84.02246379747727,-328.05326001586354,-367.3012673509526,-565.8222616109194
32,-433.3358034243986,-126.75797258415037,-504.3451288835172,-474.6002678075031,-516.8288852534755,-265.264967877511,-57.73374174114857,-378.6612653091893,-419.5933238483369,-477.4533930530534
33,-348.0516933478067,-160.28910080788887,-409.80410828847954,-634.6360273479509,-485.9748862467239,-81.83770245738185,-372.22126390634804,-577.7536178789348,-266.3317960329383,-447.48625731717465
34,-344.2418259923131,-210.5779065139501,-178.05795319300285,-471.81237083662245,-534.3692933111236,-475.0752403526229,-466.5851117035251,-558.9074015853706,-152.06157995139398,-1.852672608490252
35,-248.5260849213594,-231.1954824600263,-524.0460217810721,-89.44001137585559,-444.98420235017556,-396.98069566392144,-280.90132024574496,-100.37470036512184,-182.02104025159463,-377.75710723461594
36,-496.30935920883877,-103.2995090494548,-515.2176742247882,-363.85698926488516,-522.0115156477951,-462.2393409115775,-320.20500128443035,-546.1004828801383,-500.189262175365,-254.55913824687804
37,-257.63305366493796,-65.70813053964847,-338.00585188545847,-106.7156933070376,-53.795455708702136,-108.61197789835202,-507.50668432327507,-50.564175752930616,-353.72464786723583,-511.7030955251729
38,-450.68933695942934,-68.10233891461041,-553.1923172765883,-488.1291078591627,-393.51546513968293,-583.8532459517148,-521.9031313213277,-499.7606548421871,-503.4498333933911,-452.4494632995829
39,-347.46950122659473,-262.7503864639383,-384.99086366959176,-520.3886057811644,-422.9732966975137,-258.46483448309834,-611.2801173255675,-447.0616690472726,-432.66378224097804,-105.30051500923055
40,-496.2752423147693,-136.77943250985766,-165.44241640029952,-111.08101246140197,-504.82770756466664,-313.8427880454424,-320.0070310116606,-431.7418907336194,-349.22612980654276,-300.54571815445615
41,-509.58093011932465,-236.99674108860583,-496.77309170116195,-438.08540979358867,-573.3429961778431,-162.17287360109344,-313.2845882277145,-71.42439043814471,-171.79609969669872,-442.14321132951005
42,-283.4377983342637,-116.26057142280168,-361.41702136903365,-481.9475496653351,-453.849176632761,-546.0101553339176,-465.1998662788489,-629.4484042428855,-437.2692370421209,-30.9021987791798
43,-374.60210434920583,-185.74475123212474,-545.5751893304603,-490.55520028823344,-401.7043492829269,-499.72303234845276,-485.15708698179736,-54.999324435468296,-110.72709534433655,-441.5076864836293
44,-431.5549594485216,-207.40860283270533,-507.2619977214997,-92.72262372581787,-171.75363284554913,-118.15201938028099,-380.95208282817134,-20.58112778770213,-219.0366103430411,-460.7783204854386
45,-94.84439667143471,-219.72189176174743,-423.67619926266366,-396.4485739510184,-363.3007076079506,-477.6635487348888,-112.49575986672845,-117.19059394092424,-468.25312313246275,-76.7728714034971
46,-103.76443917595037,-277.8433181491963,-547.7026792527538,-450.8533539524662,-446.06426922819503,-349.5861637612928,-101.01535497626635,-388.7200875315331,-439.4872731868036,-340.5640345941041
47,-378.91266859288817,-214.4612844391446,-347.4488148631773,-561.1805868835718,-413.9860009346073,-514.1430104087481,-443.5347856304477,-326.69534040738796,-226.29328270733328,-567.8755367817154
48,-111.74226235324556,-167.15127119207943,-35.18289995697407,-522.1975617616334,-92.85755218646423,-408.15578542248954,-503.5856204219953,-424.0287808534613,-230.12753384425088,-494.9662090114138
49,-119.53388173648977,-53.65470682853941,-332.1115745497576,-443.5602468322262,-401.27993687168566,-220.11158733441493,-422.02482289764737,-284.55355547050425,-396.1667579472767,-15.136270822065526
50,-273.8160770187834,-54.41537418645736,-464.77175551273365,-425.60841597110374,-502.7396525194333,-147.97916679719566,-293.6295587530545,-401.0463581905902,-194.0832366740495,-416.3956347572412
51,-55.22137848708735,-287.4271440791331,-161.8872118189663,-425.8086920879917,-559.15133975658,-520.8844455440452,-367.68740748672536,-97.18059031050272,-508.28531722622995,-303.50675271052467
52,-341.55811353271235,-259.8176599172955,-106.64410115827548,-119.14927104814225,-399.80610327618274,-314.8464548414293,-401.2215264218134,-532.5362623895035,-133.8838228840383,-350.61041787996965
53,-309.96041611817157,-52.94156617559344,-387.58427907053135,-502.57885073525637,-399.60665131670066,-455.18997380542396,-95.7252571386282,-461.3182644238132,-220.17863615804856,-380.6433939292285
54,-517.9421065439135,-275.6487851356781,-594.1736149304413,-456.5229292241819,-410.19014208292674,-406.4031420544451,-381.21934256775853,-112.69358344673059,-494.81622091357553,-416.5021804450001
55,-270.1741513343653,-260.8347382919575,-389.2871484975887,-325.63193223477117,-424.33132061353996,-492.0672819289215,-480.94797090599616,-90.50809502051958,-252.06295795994987,-365.0916048942201
56,-238.65659239205542,-223.05852900488892,-345.50948204258634,-407.2204579758812,-419.398798710773,-376.23240776953344,-522.4385509612275,-253.00045038271114,-361.26757358676434,-407.1477034963463
57,-319.5548994758311,-232.7277385561722,-511.0177955501387,-508.72765243848124,-426.49021002608845,-444.65808435678576,-418.1919725519141,-491.75894810717233,-455.57615678907916,-448.9274471822049
