,Epsilon,mean_reward,std_reward
0,0.0,169.22753666092913,128.46933003641118
1,0.1,45.56758164851047,141.9581959003083
2,0.3,-149.60275681797836,119.31574999049094
3,0.5,-278.2516711237159,107.5672588725122
4,0.7,-313.79468311939274,131.10128826075916
5,0.9,-390.33144336026163,153.7067346037599
